City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mossamedes,-15.2,12.15,78.64,49,85,2.24,AO,1589083571
Hermanus,-34.42,19.23,57.0,81,0,5.97,ZA,1589083571
Punta Arenas,-53.15,-70.92,42.8,93,90,1.54,CL,1589083394
Bethel,41.37,-73.41,34.0,69,1,8.05,US,1589083571
Bagotville,-28.98,153.42,77.0,57,8,11.41,AU,1589083572
Atuona,-9.8,-139.03,80.91,78,84,16.55,PF,1589083572
Mar del Plata,-38.0,-57.56,54.0,93,0,3.36,AR,1589083572
Bambous Virieux,-20.34,57.76,75.0,73,40,8.05,MU,1589083573
Vaini,-21.2,-175.2,77.0,94,75,6.93,TO,1589083573
Thompson,55.74,-97.86,28.4,63,75,14.99,CA,1589083573
Ayan,56.45,138.17,41.07,66,8,9.17,RU,1589083573
Hobart,-42.88,147.33,55.0,40,75,13.87,AU,1589083303
Dikson,73.51,80.55,29.17,97,94,23.44,RU,1589083574
Nikolskoye,59.7,30.79,42.8,60,63,4.47,RU,1589083574
Korla,41.76,86.15,72.45,18,50,22.75,CN,1589083575
Carnarvon,-24.87,113.63,76.89,48,100,11.54,AU,1589083576
Prainha,-1.8,-53.48,74.86,95,100,1.14,BR,1589083576
Katsuura,35.13,140.3,73.99,94,90,16.11,JP,1589083578
Ilulissat,69.22,-51.1,30.2,86,100,4.7,GL,1589083579
Rikitea,-23.12,-134.97,75.58,69,51,5.37,PF,1589083580
Ginda,30.69,78.49,73.0,30,3,5.46,IN,1589083580
Marang,5.21,103.21,89.6,75,40,4.7,MY,1589083580
Arraial do Cabo,-22.97,-42.03,70.23,72,0,11.81,BR,1589083516
Busselton,-33.65,115.33,64.0,36,57,2.98,AU,1589083581
Ushuaia,-54.8,-68.3,41.0,86,30,1.48,AR,1589083581
Barra do Corda,-5.5,-45.25,72.45,91,87,2.1,BR,1589083582
Puerto Ayora,-0.74,-90.35,77.0,93,6,3.0,EC,1589083582
